model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-S911W,RWC,026008230225,SM-S911W/RWC, Canada (Rogers),Canada,Rogers,Americas,Northern America,S911WVLS2BWKA,U(Android 14),2023-12-15,2023-12-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026008230225/eng.html
SM-S911W,RWC,026008230225,SM-S911W/RWC, Canada (Rogers),Canada,Rogers,Americas,Northern America,S911WVLU1BWK4,U(Android 14),2023-11-21,2023-11-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026008230225/eng.html
SM-S911W,RWC,026008230225,SM-S911W/RWC, Canada (Rogers),Canada,Rogers,Americas,Northern America,S911WVLS1AWHF,T(Android 13),2023-09-08,2023-09-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026008230225/eng.html
SM-S911W,RWC,026008230225,SM-S911W/RWC, Canada (Rogers),Canada,Rogers,Americas,Northern America,S911WVLU1AWGH,T(Android 13),2023-08-16,2023-08-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026008230225/eng.html
SM-S911W,RWC,026008230225,SM-S911W/RWC, Canada (Rogers),Canada,Rogers,Americas,Northern America,S911WVLS1AWFD,T(Android 13),2023-07-07,2023-07-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026008230225/eng.html
SM-S911W,RWC,026008230225,SM-S911W/RWC, Canada (Rogers),Canada,Rogers,Americas,Northern America,S911WVLU1AWF3,T(Android 13),2023-06-27,2023-06-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026008230225/eng.html
SM-S911W,RWC,026008230225,SM-S911W/RWC, Canada (Rogers),Canada,Rogers,Americas,Northern America,S911WVLS1AWCA,T(Android 13),2023-05-12,2023-05-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026008230225/eng.html
SM-S911W,RWC,026008230225,SM-S911W/RWC, Canada (Rogers),Canada,Rogers,Americas,Northern America,S911WVLU1AWC8,T(Android 13),2023-04-12,2023-04-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026008230225/eng.html
SM-S911W,RWC,026008230225,SM-S911W/RWC, Canada (Rogers),Canada,Rogers,Americas,Northern America,S911WVLU1AWBE,T(Android 13),2023-02-24,2023-02-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026008230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLS3CXD7,U(Android 14),2024-05-17,2024-05-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLS2CXCN,U(Android 14),2024-04-12,2024-04-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLU2CXCI,U(Android 14),2024-04-02,2024-03-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLS2BXAD,U(Android 14),2024-02-13,2024-02-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLS2BWL7,U(Android 14),2024-01-26,2024-01-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLS2BWKA,U(Android 14),2023-12-15,2023-12-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLU1BWK4,U(Android 14),2023-11-21,2023-11-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLS1AWHF,T(Android 13),2023-09-08,2023-09-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLU1AWGH,T(Android 13),2023-08-16,2023-08-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLS1AWFD,T(Android 13),2023-07-07,2023-07-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLU1AWF3,T(Android 13),2023-06-27,2023-06-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLS1AWCA,T(Android 13),2023-05-12,2023-05-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLU1AWC8,T(Android 13),2023-04-12,2023-04-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,TLS,025949230225,SM-S911W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,S911WVLU1AWBE,T(Android 13),2023-02-24,2023-02-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025949230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLS3CXD7,U(Android 14),2024-05-17,2024-05-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLS2CXCN,U(Android 14),2024-04-12,2024-04-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLU2CXCI,U(Android 14),2024-04-02,2024-03-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLS2BXAD,U(Android 14),2024-02-13,2024-02-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLS2BWL7,U(Android 14),2024-01-26,2024-01-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLS2BWKA,U(Android 14),2023-12-15,2023-12-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLU1BWK4,U(Android 14),2023-11-21,2023-11-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLS1AWHF,T(Android 13),2023-09-08,2023-09-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLU1AWGH,T(Android 13),2023-08-16,2023-08-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLS1AWFD,T(Android 13),2023-07-07,2023-07-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLU1AWF3,T(Android 13),2023-06-27,2023-06-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLS1AWCA,T(Android 13),2023-05-12,2023-05-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLU1AWC8,T(Android 13),2023-04-12,2023-04-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VMC,025946230225,SM-S911W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,S911WVLU1AWBE,T(Android 13),2023-02-24,2023-02-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025946230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLS3CXD7,U(Android 14),2024-05-17,2024-05-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLS2CXCN,U(Android 14),2024-04-12,2024-04-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLU2CXCI,U(Android 14),2024-04-02,2024-03-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLS2BXAD,U(Android 14),2024-02-13,2024-02-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLS2BWL7,U(Android 14),2024-01-26,2024-01-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLS2BWKA,U(Android 14),2023-12-15,2023-12-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLU1BWK4,U(Android 14),2023-11-21,2023-11-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLS1AWHF,T(Android 13),2023-09-08,2023-09-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLU1AWGH,T(Android 13),2023-08-16,2023-08-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLS1AWFD,T(Android 13),2023-07-07,2023-07-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLU1AWF3,T(Android 13),2023-06-27,2023-06-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLS1AWCA,T(Android 13),2023-05-12,2023-05-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLU1AWC8,T(Android 13),2023-04-12,2023-04-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,VTR,026083230225,SM-S911W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,S911WVLU1AWBE,T(Android 13),2023-02-24,2023-02-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/026083230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLS3CXD7,U(Android 14),2024-05-17,2024-05-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLS2CXCN,U(Android 14),2024-04-12,2024-04-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLU2CXCI,U(Android 14),2024-04-02,2024-03-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLS2BXAD,U(Android 14),2024-02-13,2024-02-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLS2BWL7,U(Android 14),2024-01-26,2024-01-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLS2BWKA,U(Android 14),2023-12-15,2023-12-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLU1BWK4,U(Android 14),2023-11-21,2023-11-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLS1AWHF,T(Android 13),2023-09-08,2023-09-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLU1AWGH,T(Android 13),2023-08-16,2023-08-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLS1AWFD,T(Android 13),2023-07-07,2023-07-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLU1AWF3,T(Android 13),2023-06-27,2023-06-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLS1AWCA,T(Android 13),2023-05-12,2023-05-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLU1AWC8,T(Android 13),2023-04-12,2023-04-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
SM-S911W,XAC,025971230225,SM-S911W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,S911WVLU1AWBE,T(Android 13),2023-02-24,2023-02-01,Galaxy S23 ,https://doc.samsungmobile.com/SM-S911W/025971230225/eng.html
