model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-T225N,XFA,019269210709,SM-T225N/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU1AUH5,R(Android 11),2021-09-24,2021-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019269210709/eng.html
SM-T225N,XFA,019269210709,SM-T225N/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU1AUF3,R(Android 11),2021-07-09,2021-05-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019269210709/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU6DWLB,U(Android 14),2024-02-02,2023-12-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXS6CWL1,T(Android 13),2023-12-21,2023-12-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXS5CWK1,T(Android 13),2023-12-08,2023-11-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU4CWI2,T(Android 13),2023-10-20,2023-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXS4CWG4,T(Android 13),2023-08-02,2023-06-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXS3CWD1,T(Android 13),2023-04-13,2023-04-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU2CWB3,T(Android 13),2023-03-30,2023-02-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXS2CWA7,T(Android 13),2023-03-01,2023-01-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU1CVL5,T(Android 13),2023-01-16,2022-11-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXS1BVJ1,S(Android 12),2022-11-10,2022-10-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU1BVGB,S(Android 12),2022-09-01,2022-07-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU1AVE1,R(Android 11),2022-05-31,2022-05-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU1AVB1,R(Android 11),2022-03-05,2022-01-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU1AUJ1,R(Android 11),2021-11-02,2021-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU1AUI3,R(Android 11),2021-10-09,2021-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU1AUH5,R(Android 11),2021-09-14,2021-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFE,019335210715,SM-T225N/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,T225NDXU1AUF3,R(Android 11),2021-07-15,2021-05-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019335210715/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXU6DWLB,U(Android 14),2024-02-20,2023-12-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXS6CWL1,T(Android 13),2023-12-21,2023-12-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXS5CWK1,T(Android 13),2023-12-08,2023-11-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXU4CWI2,T(Android 13),2023-10-25,2023-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXS4CWG4,T(Android 13),2023-08-02,2023-06-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXS3CWD1,T(Android 13),2023-04-13,2023-04-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXU2CWB3,T(Android 13),2023-04-04,2023-02-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXS2CWA7,T(Android 13),2023-03-02,2023-01-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXU1CVL5,T(Android 13),2023-01-27,2022-11-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXS1BVJ1,S(Android 12),2022-11-15,2022-10-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXU1BVGB,S(Android 12),2022-08-24,2022-07-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXU1AVE1,R(Android 11),2022-06-09,2022-05-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXU1AVB1,R(Android 11),2022-03-15,2022-01-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXU1AUJ1,R(Android 11),2021-11-02,2021-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXU1AUI3,R(Android 11),2021-10-06,2021-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXU1AUH5,R(Android 11),2021-09-24,2021-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XFV,019268210709,SM-T225N/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,T225NDXU1AUF3,R(Android 11),2021-07-09,2021-05-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019268210709/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXU6DWLB,U(Android 14),2024-01-26,2023-12-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXS6CWL1,T(Android 13),2023-12-21,2023-12-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXS5CWK1,T(Android 13),2023-12-08,2023-11-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXU4CWI2,T(Android 13),2023-10-20,2023-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXS4CWG4,T(Android 13),2023-08-02,2023-06-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXS3CWD1,T(Android 13),2023-04-13,2023-04-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXU2CWB3,T(Android 13),2023-04-04,2023-02-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXS2CWA7,T(Android 13),2023-03-01,2023-01-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXU1CVL5,T(Android 13),2023-01-04,2022-11-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXS1BVJ1,S(Android 12),2022-11-10,2022-10-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXU1BVGB,S(Android 12),2022-08-19,2022-07-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXU1AVE1,R(Android 11),2022-05-31,2022-05-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXU1AVB1,R(Android 11),2022-03-03,2022-01-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXU1AUJ1,R(Android 11),2021-11-02,2021-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXU1AUI3,R(Android 11),2021-10-06,2021-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXU1AUH5,R(Android 11),2021-09-09,2021-08-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
SM-T225N,XSG,019332210715,SM-T225N/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,T225NDXU1AUF3,R(Android 11),2021-07-15,2021-05-01,Galaxy Tab A7 Lite ,https://doc.samsungmobile.com/SM-T225N/019332210715/eng.html
